indicador,unidade,valor,uf_codigo,uf_nome,variavel_codigo,variavel,periodo_codigo,periodo,categoria_codigo,categoria,categoria2_codigo,categoria2
instrucao,%,,15,Pará,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,16,Amapá,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,16,Amapá,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,17,Tocantins,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,17,Tocantins,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,21,Maranhão,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,21,Maranhão,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,22,Piauí,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,22,Piauí,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,23,Ceará,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,23,Ceará,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,24,Rio Grande do Norte,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,24,Rio Grande do Norte,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,25,Paraíba,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,25,Paraíba,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,26,Pernambuco,10267,Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
instrucao,%,,26,Pernambuco,10268,Coeficiente de variação - Taxa de analfabetismo das pessoas de 15 anos ou mais de idade,2022,2022,6794,Total,0,
