estado,estado_codigo,termo,interesse,ano,grupo
Rondônia,BR-RO,engenheiro de dados,0,2021,carreiras
Roraima,BR-RR,engenheiro de dados,0,2021,carreiras
Santa Catarina,BR-SC,engenheiro de dados,4,2021,carreiras
Sergipe,BR-SE,engenheiro de dados,7,2021,carreiras
São Paulo,BR-SP,engenheiro de dados,5,2021,carreiras
Tocantins,BR-TO,engenheiro de dados,0,2021,carreiras
Acre,BR-AC,analista de dados,0,2021,carreiras
Alagoas,BR-AL,analista de dados,11,2021,carreiras
Amapá,BR-AP,analista de dados,0,2021,carreiras
Amazonas,BR-AM,analista de dados,8,2021,carreiras
Bahia,BR-BA,analista de dados,10,2021,carreiras
Ceará,BR-CE,analista de dados,12,2021,carreiras
Distrito Federal,BR-DF,analista de dados,11,2021,carreiras
Espírito Santo,BR-ES,analista de dados,16,2021,carreiras
Goiás,BR-GO,analista de dados,10,2021,carreiras
Maranhão,BR-MA,analista de dados,12,2021,carreiras
Mato Grosso,BR-MT,analista de dados,11,2021,carreiras
Mato Grosso do Sul,BR-MS,analista de dados,10,2021,carreiras
Minas Gerais,BR-MG,analista de dados,10,2021,carreiras
Paraná,BR-PR,analista de dados,10,2021,carreiras
Paraíba,BR-PB,analista de dados,5,2021,carreiras
Pará,BR-PA,analista de dados,9,2021,carreiras
Pernambuco,BR-PE,analista de dados,11,2021,carreiras
Piauí,BR-PI,analista de dados,10,2021,carreiras
Rio Grande do Norte,BR-RN,analista de dados,7,2021,carreiras
Rio Grande do Sul,BR-RS,analista de dados,11,2021,carreiras
Rio de Janeiro,BR-RJ,analista de dados,12,2021,carreiras
Rondônia,BR-RO,analista de dados,11,2021,carreiras
Roraima,BR-RR,analista de dados,0,2021,carreiras
Santa Catarina,BR-SC,analista de dados,11,2021,carreiras
Sergipe,BR-SE,analista de dados,12,2021,carreiras
São Paulo,BR-SP,analista de dados,12,2021,carreiras
Tocantins,BR-TO,analista de dados,0,2021,carreiras
Acre,BR-AC,machine learning,0,2021,carreiras
Alagoas,BR-AL,machine learning,25,2021,carreiras
Amapá,BR-AP,machine learning,38,2021,carreiras
Amazonas,BR-AM,machine learning,29,2021,carreiras
Bahia,BR-BA,machine learning,26,2021,carreiras
Ceará,BR-CE,machine learning,30,2021,carreiras
Distrito Federal,BR-DF,machine learning,34,2021,carreiras
Espírito Santo,BR-ES,machine learning,30,2021,carreiras
Goiás,BR-GO,machine learning,22,2021,carreiras
Maranhão,BR-MA,machine learning,25,2021,carreiras
Mato Grosso,BR-MT,machine learning,25,2021,carreiras
Mato Grosso do Sul,BR-MS,machine learning,28,2021,carreiras
Minas Gerais,BR-MG,machine learning,29,2021,carreiras
Paraná,BR-PR,machine learning,27,2021,carreiras
Paraíba,BR-PB,machine learning,34,2021,carreiras
Pará,BR-PA,machine learning,22,2021,carreiras
Pernambuco,BR-PE,machine learning,27,2021,carreiras
Piauí,BR-PI,machine learning,31,2021,carreiras
Rio Grande do Norte,BR-RN,machine learning,36,2021,carreiras
Rio Grande do Sul,BR-RS,machine learning,29,2021,carreiras
Rio de Janeiro,BR-RJ,machine learning,31,2021,carreiras
Rondônia,BR-RO,machine learning,26,2021,carreiras
Roraima,BR-RR,machine learning,0,2021,carreiras
Santa Catarina,BR-SC,machine learning,29,2021,carreiras
Sergipe,BR-SE,machine learning,29,2021,carreiras
São Paulo,BR-SP,machine learning,32,2021,carreiras
Tocantins,BR-TO,machine learning,23,2021,carreiras
Acre,BR-AC,inteligencia artificial,100,2021,carreiras
Alagoas,BR-AL,inteligencia artificial,43,2021,carreiras
Amapá,BR-AP,inteligencia artificial,62,2021,carreiras
Amazonas,BR-AM,inteligencia artificial,42,2021,carreiras
Bahia,BR-BA,inteligencia artificial,45,2021,carreiras
Ceará,BR-CE,inteligencia artificial,35,2021,carreiras
Distrito Federal,BR-DF,inteligencia artificial,37,2021,carreiras
Espírito Santo,BR-ES,inteligencia artificial,37,2021,carreiras
Goiás,BR-GO,inteligencia artificial,48,2021,carreiras
Maranhão,BR-MA,inteligencia artificial,42,2021,carreiras
Mato Grosso,BR-MT,inteligencia artificial,45,2021,carreiras
Mato Grosso do Sul,BR-MS,inteligencia artificial,44,2021,carreiras
Minas Gerais,BR-MG,inteligencia artificial,39,2021,carreiras
Paraná,BR-PR,inteligencia artificial,44,2021,carreiras
Paraíba,BR-PB,inteligencia artificial,42,2021,carreiras
Pará,BR-PA,inteligencia artificial,48,2021,carreiras
Pernambuco,BR-PE,inteligencia artificial,41,2021,carreiras
Piauí,BR-PI,inteligencia artificial,47,2021,carreiras
Rio Grande do Norte,BR-RN,inteligencia artificial,47,2021,carreiras
Rio Grande do Sul,BR-RS,inteligencia artificial,45,2021,carreiras
Rio de Janeiro,BR-RJ,inteligencia artificial,38,2021,carreiras
Rondônia,BR-RO,inteligencia artificial,46,2021,carreiras
Roraima,BR-RR,inteligencia artificial,100,2021,carreiras
Santa Catarina,BR-SC,inteligencia artificial,43,2021,carreiras
Sergipe,BR-SE,inteligencia artificial,35,2021,carreiras
São Paulo,BR-SP,inteligencia artificial,39,2021,carreiras
Tocantins,BR-TO,inteligencia artificial,36,2021,carreiras
Acre,BR-AC,Python,14,2022,linguagens
Alagoas,BR-AL,Python,21,2022,linguagens
Amapá,BR-AP,Python,12,2022,linguagens
Amazonas,BR-AM,Python,21,2022,linguagens
Bahia,BR-BA,Python,18,2022,linguagens
Ceará,BR-CE,Python,24,2022,linguagens
Distrito Federal,BR-DF,Python,33,2022,linguagens
Espírito Santo,BR-ES,Python,23,2022,linguagens
Goiás,BR-GO,Python,18,2022,linguagens
Maranhão,BR-MA,Python,15,2022,linguagens
Mato Grosso,BR-MT,Python,14,2022,linguagens
Mato Grosso do Sul,BR-MS,Python,17,2022,linguagens
Minas Gerais,BR-MG,Python,20,2022,linguagens
Paraná,BR-PR,Python,22,2022,linguagens
Paraíba,BR-PB,Python,30,2022,linguagens
Pará,BR-PA,Python,16,2022,linguagens
Pernambuco,BR-PE,Python,26,2022,linguagens
Piauí,BR-PI,Python,19,2022,linguagens
Rio Grande do Norte,BR-RN,Python,26,2022,linguagens
Rio Grande do Sul,BR-RS,Python,21,2022,linguagens
Rio de Janeiro,BR-RJ,Python,23,2022,linguagens
Rondônia,BR-RO,Python,14,2022,linguagens
Roraima,BR-RR,Python,13,2022,linguagens
Santa Catarina,BR-SC,Python,25,2022,linguagens
Sergipe,BR-SE,Python,22,2022,linguagens
São Paulo,BR-SP,Python,24,2022,linguagens
Tocantins,BR-TO,Python,16,2022,linguagens
Acre,BR-AC,SQL,5,2022,linguagens
Alagoas,BR-AL,SQL,7,2022,linguagens
Amapá,BR-AP,SQL,4,2022,linguagens
Amazonas,BR-AM,SQL,6,2022,linguagens
Bahia,BR-BA,SQL,6,2022,linguagens
Ceará,BR-CE,SQL,9,2022,linguagens
Distrito Federal,BR-DF,SQL,15,2022,linguagens
Espírito Santo,BR-ES,SQL,11,2022,linguagens
Goiás,BR-GO,SQL,9,2022,linguagens
Maranhão,BR-MA,SQL,4,2022,linguagens
Mato Grosso,BR-MT,SQL,7,2022,linguagens
Mato Grosso do Sul,BR-MS,SQL,8,2022,linguagens
Minas Gerais,BR-MG,SQL,11,2022,linguagens
Paraná,BR-PR,SQL,11,2022,linguagens
Paraíba,BR-PB,SQL,7,2022,linguagens
Pará,BR-PA,SQL,4,2022,linguagens
